# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
277.4000 MA29 1000 10 132.4000 beacon87 c179 27 N beacon87->c87->c44->c141->beacon76->c34->c153->c107->c187->c86->c179
296.4000 MA36 1000 10 116.4000 beacon43 c81 28 N beacon43->c24->c12->beacon109->c72->c146->c91->c50->c128->c184->c81
305.9000 MA35 1000 19 130.9000 beacon32 c36 27 N beacon32->c15->c125->c144->c173->c191->c72->c143->c42->c147->c43->c146->c99->c163->c123->c202->c57->c149->c106->c36
306.1000 MA51 1000 9 51.1000 beacon87 c119 29 N beacon87->c17->c50->c174->c11->c135->c30->c24->c202->c119
311.5000 MA52 1000 5 51.5000 beacon21 c157 29 N beacon21->c172->c30->c161->c32->c157
321.3000 MA56 1000 8 41.3000 beacon98 c207 29 N beacon98->c160->c44->c188->c57->c149->c106->c103->c207
322.1000 MA59 1000 9 27.1000 beacon87 c36 29 N beacon87->c132->c33->c77->c40->c141->c50->c192->c149->c36
332.3000 MA50 1000 13 82.3000 beacon65 c139 28 N beacon65->c189->c68->c156->c67->c152->c201->c143->c43->c111->c51->c11->c174->c139
334.2000 MA60 1000 12 34.2000 beacon43 c29 29 N beacon43->c75->c162->c206->c173->c157->c169->c89->c133->c15->c25->c147->c29
348.0000 MA66 1000 9 18.0000 beacon21 c197 29 N beacon21->c150->c127->c184->c132->c140->c88->beacon76->c10->c197
349.6000 MA48 1000 15 109.6000 beacon21 c137 28 N beacon21->c127->c33->c82->c133->c94->c99->c116->c50->c91->c146->c72->c24->c12->c66->c137
349.9000 MA54 1000 10 79.9000 beacon87 c82 28 N beacon87->c17->c50->c174->c11->c135->c140->c30->c204->beacon109->c82
360.0000 MA45 1000 13 135.0000 beacon54 c115 27 N beacon54->c56->c60->c53->c174->c167->c85->c44->c64->beacon98->c160->c193->c97->c115
360.4000 MA55 1000 15 85.4000 beacon87 c206 28 N beacon87->c132->c33->c77->c40->c141->c50->beacon76->c97->c150->c85->c135->c60->c39->c67->c206
371.6000 MA68 1000 11 31.6000 beacon43 c132 29 N beacon43->c98->c206->c135->c121->c169->c44->c105->c162->c157->c77->c132
371.8000 MA71 1000 13 16.8000 beacon43 c60 29 N beacon43->c98->c24->c206->c135->c121->c169->c44->c105->c162->c157->c77->c132->c60
374.1000 MA53 1000 6 109.1000 beacon54 c48 28 N beacon54->c95->c32->c162->c63->c96->c48
374.8000 MA65 1000 5 49.8000 beacon10 c24 29 N beacon10->c200->c193->c160->c44->c24
375.2000 MA57 1000 4 90.2000 beacon98 c206 28 N beacon98->c160->c44->c24->c206
388.5000 MA61 1000 10 83.5000 beacon54 c76 28 N beacon54->c95->c90->c35->c134->c84->c180->c93->c36->c97->c76
397.3000 MA58 1000 3 107.3000 beacon87 c16 28 N beacon87->c132->c184->c16
397.8000 MA67 1000 14 62.8000 beacon54 c77 28 N beacon54->c84->c165->c65->c118->c154->c108->c42->c91->c109->c105->c198->c48->c137->c77
406.1000 MA81 1000 5 1.1000 beacon21 c44 29 N beacon21->c119->c157->c164->c198->c44
430.1000 MA74 1000 10 60.1000 beacon54 c198 28 N beacon54->c174->c166->c134->c165->c86->c68->c141->c44->c138->c198
441.4000 MA78 1000 12 51.4000 beacon21 c131 29 N beacon21->c173->c119->c157->c60->c162->c110->c73->c19->c51->c111->c148->c131
448.1000 MA72 1000 12 88.1000 beacon65 c115 28 N beacon65->c83->c44->c162->c51->c118->c169->c56->c155->c46->c48->c192->c115
448.6000 MA75 1000 4 73.6000 beacon76 c63 28 N beacon76->c122->c185->c125->c63
449.8000 MA62 1000 10 139.8000 beacon21 c92 27 N beacon21->c135->c60->c201->c66->c116->c161->c75->c167->c91->c92
455.5000 MA73 1000 26 90.5000 beacon54 c208 28 N beacon54->c174->c166->c128->c91->c56->c169->c22->c24->c196->c25->c122->c164->c178->c93->c10->beacon21->c108->c110->c140->c103->c64->c31->c139->beacon98->c106->c208
457.9000 MA89 1000 2 12.9000 beacon10 c144 29 N beacon10->c179->c144
466.9000 MA91 1000 9 11.9000 beacon21 c32 29 N beacon21->c157->c205->c24->c138->c114->c168->c61->c67->c32
471.7000 MA64 1000 18 151.7000 beacon87 c46 27 N beacon87->c189->c175->c105->beacon76->c23->c126->c103->c17->c25->c191->c168->c22->c138->c114->c67->c21->c152->c46
473.5000 MA69 1000 14 128.5000 beacon76 c163 27 N beacon76->c88->c70->c185->c132->c89->c35->c44->c162->c78->c154->c201->c167->c91->c163
475.8000 MA87 1000 7 40.8000 beacon76 c28 29 N beacon76->c126->c154->c103->c191->c157->c194->c28
477.4000 MA95 1000 1 2.4000 beacon76 c119 29 N beacon76->c119
484.2000 MA76 1000 13 104.2000 beacon32 c41 28 N beacon32->c72->beacon109->c21->c98->c206->c155->c145->c121->c192->c24->c22->c128->c41
494.5000 MA96 1000 4 14.5000 beacon10 c179 29 N beacon10->c173->c89->c40->c179
497.0000 MA84 1000 6 77.0000 beacon76 c133 28 N beacon76->c114->c154->c65->c19->c62->c133
499.7000 MA94 1000 3 29.7000 beacon76 c165 29 N beacon76->c110->c62->c165
499.8000 MA98 1000 3 9.8000 beacon98 c63 29 N beacon98->c167->c97->c63
517.6000 MA101 1000 6 12.6000 beacon98 c109 29 N beacon98->c205->c179->c208->c95->beacon21->c109
518.7000 MA86 1000 27 88.7000 beacon32 c188 28 N beacon32->c30->c180->c137->c39->c181->c121->c34->c122->c183->c150->c48->c191->c196->c200->c152->c116->c23->c95->c77->c22->beacon21->c24->c133->beacon76->c105->c108->c188
519.1000 MA82 1000 28 109.1000 beacon43 c195 28 N beacon43->c21->c98->c206->c155->c145->c121->c48->c190->c25->c122->c164->c178->c93->c10->beacon21->c108->c110->c140->c103->c64->c31->c139->beacon98->c106->c170->c89->c40->c195
522.5000 MA77 1000 9 137.5000 beacon98 c187 27 N beacon98->c74->c114->c154->c65->c119->c157->c162->c20->c187
540.4000 MA104 1000 6 20.4000 beacon10 c97 29 N beacon10->c89->c63->c129->c144->c133->c97
558.4000 MA107 1000 3 23.4000 beacon87 c77 29 N beacon87->c102->beacon76->c77
562.2000 MA92 1000 16 102.2000 beacon32 c157 28 N beacon32->c42->c180->c137->c39->c181->c121->c34->c122->c183->c150->c48->c191->c196->c200->c152->c157
568.1000 MA90 1000 5 118.1000 beacon87 c39 28 N beacon87->c102->c19->c11->beacon21->c39
569.8000 MA109 1000 12 24.8000 beacon10 c66 29 N beacon10->c129->c17->c144->c119->c205->c25->c172->c201->c208->beacon21->c11->c66
