# time  ID  size  fromHost  toHost  TTL  isResponse
2456.0000 MH4 1000 bcon_H7 c35 30 N 
2466.0000 MA4 1000 bcon_A0 c82 30 N 
2470.0000 MG4 1000 bcon_G6 c191 30 N 
2474.0000 MF4 1000 bcon_F5 c145 30 N 
2494.0000 MJ4 1000 bcon_J9 c164 30 N 
3043.0000 MD5 1000 bcon_D3 c52 30 N 
3045.0000 MI5 1000 bcon_I8 c112 30 N 
3047.0000 MB5 1000 bcon_B1 c87 30 N 
3059.0000 MC5 1000 bcon_C2 c133 30 N 
3068.0000 MH5 1000 bcon_H7 c123 30 N 
3074.0000 ME5 1000 bcon_E4 c41 30 N 
3087.0000 MA5 1000 bcon_A0 c169 30 N 
3088.0000 MF5 1000 bcon_F5 c158 30 N 
3092.0000 MG5 1000 bcon_G6 c204 30 N 
3111.0000 MJ5 1000 bcon_J9 c30 30 N 
3648.0000 MI6 1000 bcon_I8 c165 30 N 
3652.0000 MB6 1000 bcon_B1 c155 30 N 
3667.0000 MD6 1000 bcon_D3 c101 30 N 
3682.0000 MC6 1000 bcon_C2 c75 30 N 
3685.0000 MH6 1000 bcon_H7 c208 30 N 
3691.0000 MA6 1000 bcon_A0 c128 30 N 
3692.0000 ME6 1000 bcon_E4 c35 30 N 
3699.0000 MG6 1000 bcon_G6 c181 30 N 
3708.0000 MF6 1000 bcon_F5 c62 30 N 
3723.0000 MJ6 1000 bcon_J9 c191 30 N 
4272.0000 MB7 1000 bcon_B1 c75 30 N 
4272.0000 MI7 1000 bcon_I8 c121 30 N 
4276.0000 MD7 1000 bcon_D3 c115 30 N 
4295.0000 MH7 1000 bcon_H7 c34 30 N 
4303.0000 MG7 1000 bcon_G6 c66 30 N 
4306.0000 MA7 1000 bcon_A0 c106 30 N 
4307.0000 MC7 1000 bcon_C2 c147 30 N 
4315.0000 ME7 1000 bcon_E4 c202 30 N 
4331.0000 MJ7 1000 bcon_J9 c112 30 N 
4337.0000 MF7 1000 bcon_F5 c193 30 N 
4884.0000 MI8 1000 bcon_I8 c15 30 N 
4888.0000 MD8 1000 bcon_D3 c159 30 N 
4898.0000 MB8 1000 bcon_B1 c19 30 N 
4904.0000 MH8 1000 bcon_H7 c78 30 N 
4905.0000 MG8 1000 bcon_G6 c60 30 N 
4913.0000 MC8 1000 bcon_C2 c141 30 N 
4925.0000 MA8 1000 bcon_A0 c200 30 N 
4931.0000 ME8 1000 bcon_E4 c96 30 N 
4950.0000 MJ8 1000 bcon_J9 c56 30 N 
4959.0000 MF8 1000 bcon_F5 c137 30 N 
5495.0000 MD9 1000 bcon_D3 c50 30 N 
5498.0000 MI9 1000 bcon_I8 c54 30 N 
5502.0000 MB9 1000 bcon_B1 c47 30 N 
5505.0000 MH9 1000 bcon_H7 c21 30 N 
5507.0000 MG9 1000 bcon_G6 c133 30 N 
5522.0000 MC9 1000 bcon_C2 c163 30 N 
5531.0000 MA9 1000 bcon_A0 c137 30 N 
5560.0000 ME9 1000 bcon_E4 c107 30 N 
5562.0000 MJ9 1000 bcon_J9 c140 30 N 
5586.0000 MF9 1000 bcon_F5 c193 30 N 
6110.0000 MI10 1000 bcon_I8 c179 30 N 
6111.0000 MH10 1000 bcon_H7 c127 30 N 
6117.0000 MB10 1000 bcon_B1 c167 30 N 
6117.0000 MG10 1000 bcon_G6 c147 30 N 
