# time  ID  size  fromHost  toHost  TTL  isResponse
13486.0000 MA22 1000 bcon_A0 c20 10 N 
13496.0000 MB22 1000 bcon_B1 c169 10 N 
13504.0000 MG22 1000 bcon_G6 c120 10 N 
13515.0000 MJ22 1000 bcon_J9 c145 10 N 
13517.0000 MI22 1000 bcon_I8 c195 10 N 
13556.0000 MC22 1000 bcon_C2 c120 10 N 
13564.0000 ME22 1000 bcon_E4 c196 10 N 
13581.0000 MF22 1000 bcon_F5 c146 10 N 
14063.0000 MH23 1000 bcon_H7 c205 10 N 
14092.0000 MD23 1000 bcon_D3 c38 10 N 
14103.0000 MA23 1000 bcon_A0 c179 10 N 
14107.0000 MG23 1000 bcon_G6 c64 10 N 
14121.0000 MB23 1000 bcon_B1 c121 10 N 
14121.0000 MI23 1000 bcon_I8 c139 10 N 
14127.0000 MJ23 1000 bcon_J9 c81 10 N 
14166.0000 MC23 1000 bcon_C2 c95 10 N 
14175.0000 ME23 1000 bcon_E4 c170 10 N 
14199.0000 MF23 1000 bcon_F5 c113 10 N 
14687.0000 MH24 1000 bcon_H7 c13 10 N 
14694.0000 MD24 1000 bcon_D3 c98 10 N 
14723.0000 MB24 1000 bcon_B1 c166 10 N 
14731.0000 MA24 1000 bcon_A0 c132 10 N 
14733.0000 MI24 1000 bcon_I8 c116 10 N 
14735.0000 MG24 1000 bcon_G6 c178 10 N 
14735.0000 MJ24 1000 bcon_J9 c150 10 N 
14772.0000 MC24 1000 bcon_C2 c86 10 N 
14795.0000 ME24 1000 bcon_E4 c25 10 N 
14823.0000 MF24 1000 bcon_F5 c59 10 N 
15307.0000 MH25 1000 bcon_H7 c115 10 N 
15323.0000 MD25 1000 bcon_D3 c100 10 N 
15337.0000 MB25 1000 bcon_B1 c119 10 N 
15337.0000 MG25 1000 bcon_G6 c18 10 N 
15344.0000 MJ25 1000 bcon_J9 c149 10 N 
15354.0000 MI25 1000 bcon_I8 c52 10 N 
15357.0000 MA25 1000 bcon_A0 c198 10 N 
15383.0000 MC25 1000 bcon_C2 c202 10 N 
15403.0000 ME25 1000 bcon_E4 c14 10 N 
15449.0000 MF25 1000 bcon_F5 c134 10 N 
15910.0000 MH26 1000 bcon_H7 c69 10 N 
15923.0000 MD26 1000 bcon_D3 c26 10 N 
15949.0000 MB26 1000 bcon_B1 c47 10 N 
15959.0000 MG26 1000 bcon_G6 c58 10 N 
15962.0000 MI26 1000 bcon_I8 c146 10 N 
15962.0000 MJ26 1000 bcon_J9 c157 10 N 
15967.0000 MA26 1000 bcon_A0 c36 10 N 
16002.0000 MC26 1000 bcon_C2 c15 10 N 
16008.0000 ME26 1000 bcon_E4 c80 10 N 
16064.0000 MF26 1000 bcon_F5 c91 10 N 
16529.0000 MH27 1000 bcon_H7 c201 10 N 
16546.0000 MD27 1000 bcon_D3 c200 10 N 
16570.0000 MB27 1000 bcon_B1 c101 10 N 
